,Males
832,Sylvian_Jolicoeur
833,Jugson
834,Jason_Caffoe
835,Jacob_Kowalski
836,Mustafa_Kama
837,Aidan_Kiely
838,Clifford_Kessler
839,Olivier_Kikkert
840,Knight_with_an_arrow_sticking_out_of_his_forehead
841,Quentin_Kowalski
842,Kreacher
843,Yusuf_Kama
844,Kelpie_in_the_Great_Lake
845,Kris_Kolumbiko
846,Krall
847,Jimmy_Kiddell
848,Karkus
849,Kneil
850,Lukas_Karuzos
851,Hamish_Knighton
852,Porteus_Knatchbull
853,Andrew_Kirke
854,Silvanus_Kettleburn
855,Jan_Kowalski
856,Unidentified_king
857,Duncan_Knottingley
858,Local_Sitemap
859,Roland_Kegg
860,Goodwin_Kneen
861,James_Killick
862,Victor_Ketsueki
863,Humphrey_Kilburn
864,Danny_Kershaw
865,Matthew_Kettletoft
866,Marilias_Kistmanus
867,Karl
868,Sourav_Kartik
869,Biko_Kisawahi
870,Randolph_Keitch
871,Wilfred_Levi_Kidd
872,Keeper_of_the_reptile_house
873,Luxo_Karuzos
874,Igor_Karkaroff
875,Koldovstoretz_potions_champion
876,Viktor_Krum
877,Hirohisa_Kubo
878,Jae_Kim
879,John_Kent
880,Kevin
881,Ashok_Khanna
882,Luxo_Karuzos_II
883,Krafft
884,Montague_Knightley
885,Wilfred_Kidd_Senior
886,Michael_Karume
887,Linfred_of_Stinchcombe
888,Aamir_Loonat
889,Lyall_Lupin
890,Mark_Latchingdon
891,Luke
892,Unidentified_Leaky_Cauldron_client
893,Leaky_Cauldron_wizard_from_Belgium
894,Jack_London
895,Algie_Longbottom
896,Hector_Lamont
897,Erich_Ludendorff
898,Edward_Lupin
899,Wallace_Lassiter
900,Landlord_of_The_Hanged_Man
901,Rabastan_Lestrange
902,Cecil_Lee
903,Loxias
904,Floxel_Lestrange
905,Nobby_Leach
906,Amarillo_Lestoat
907,Edwardus_Lima
908,Radolphus_Lestrange
909,Bernard_Lockwood
910,Clive_Lundquist
911,Little_Hangleton_milkman
912,Steve_Laughalot
913,Eduardo_Lima_Filho
914,Liu_Tao
915,Holden_Ledbury
916,Gilderoy_Lockhart
917,Little_Whinging_milkman
